Car Name,PassengerCapacity,Car Type,Transmission,Price,Location,pickupDate,Luggage,Range or Mileage,Website,,,,,,
 Tesla Model Y ,5,Tesla Model Y,A,92.32 CAD,Windsor - Windsor Walker Road HLE,19/11/24,5,488 km range,https://www.hertz.com/rentacar,,,,,,
 Compact or Larger ,5,Economy,A,45.28 CAD,Windsor - Windsor Walker Road HLE,19/11/24,3,NA,https://www.hertz.com/rentacar,,,,,,
 Toyota Corolla ,5,Midsize,A,44.26 CAD,Windsor - Windsor Walker Road HLE,19/11/24,3,6.7 l/100km,https://www.hertz.com/rentacar,,,,,,
 Hyundai Sonata ,5,Fullsize,A,45.20 CAD,Windsor - Windsor Walker Road HLE,19/11/24,4,6.2 l/100km,https://www.hertz.com/rentacar,,,,,,
 Toyota RAV4 ,5,Midsize SUV,A,54.24 CAD,Windsor - Windsor Walker Road HLE,19/11/24,4,8.3 l/100km,https://www.hertz.com/rentacar,,,,,,
 Dodge Grand Caravan ,7,Minivan,A,57.14 CAD,Windsor - Windsor Walker Road HLE,19/11/24,5,9.1 l/100km,https://www.hertz.com/rentacar,,,,,,
 Ford Edge ,5,5 Passengers Standard SUV,A,55.37 CAD,Windsor - Windsor Walker Road HLE,19/11/24,4,9.1 l/100km,https://www.hertz.com/rentacar,,,,,,
 Dodge Ram 1500 ,5,Standard Pick up,A,40.86 CAD,Windsor - Windsor Walker Road HLE,19/11/24,9,11.1 l/100km,https://www.hertz.com/rentacar,,,,,,
 Chevrolet Spark ,4,Economy,A,45.28 CAD,Windsor - Windsor Walker Road HLE,19/11/24,2,6.7 l/100km,https://www.hertz.com/rentacar,,,,,,
 Kia Rio ,5,Compact,A,43.52 CAD,Windsor - Windsor Walker Road HLE,19/11/24,3,6.2 l/100km,https://www.hertz.com/rentacar,,,,,,
 Volkswagen Jetta ,5,Standard,A,43.00 CAD,Windsor - Windsor Walker Road HLE,19/11/24,3,6.2 l/100km,https://www.hertz.com/rentacar,,,,,,
 Tesla Model 3 LR ,5,Tesla Model 3 LR,A,Call to Book,Windsor - Windsor Walker Road HLE,19/11/24,4,576 km range,https://www.hertz.com/rentacar,,,,,,
 Tesla Model 3 SR ,5,Tesla Model 3 SR,A,Call to Book,Windsor - Windsor Walker Road HLE,19/11/24,4,488 km range,https://www.hertz.com/rentacar,,,,,,
 Nissan Kicks ,5,Compact SUV,A,Call to Book,Windsor - Windsor Walker Road HLE,19/11/24,3,7.7 l/100km,https://www.hertz.com/rentacar,,,,,,
 Ford Transit 250 ,2,Commercial Van/Truck Medium Roof,A,Call to Book,Windsor - Windsor Walker Road HLE,19/11/24,11,14.3 l/100km,https://www.hertz.com/rentacar,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,/n/n/n/n Tesla Model 3 LR ,5,Tesla Model 3 LR,A,73.45 CAD,"Calgary International Airport",2024-11-19,4,576 km range,https://www.hertz.com/rentacar
 Toyota RAV4 ,5,Midsize SUV,A,50.28 CAD,"Calgary International Airport",2024-11-19,4,8.3 l/100km,https://www.hertz.com/rentacar
 Ford Edge ,5,5 Passengers Standard SUV,A,51.10 CAD,"Calgary International Airport",2024-11-19,4,9.1 l/100km,https://www.hertz.com/rentacar
 Dodge Grand Caravan ,7,Minivan,A,66.77 CAD,"Calgary International Airport",2024-11-19,5,9.1 l/100km,https://www.hertz.com/rentacar
 Hyundai Sonata ,5,Fullsize,A,44.52 CAD,"Calgary International Airport",2024-11-19,4,6.2 l/100km,https://www.hertz.com/rentacar
 Toyota Corolla ,5,Midsize,A,53.99 CAD,"Calgary International Airport",2024-11-19,3,6.7 l/100km,https://www.hertz.com/rentacar
 Kia Rio ,5,Compact,A,43.33 CAD,"Calgary International Airport",2024-11-19,3,6.2 l/100km,https://www.hertz.com/rentacar
